,0
297,0.07142861
298,0.07641202
299,0.07392031
300,0.07558133
301,0.078073025
302,0.07890372
303,0.07890372
304,0.07973406
305,0.078073025
306,0.07308963
307,0.07558133
308,0.07558133
309,0.07641202
310,0.078073025
311,0.08139542
312,0.083887115
313,0.08803983
314,0.09634526
315,0.09468424
316,0.092192546
317,0.098006636
318,0.09468424
319,0.09634526
320,0.093023226
321,0.093023226
322,0.093023226
323,0.09053153
324,0.09551494
325,0.09468424
326,0.09966764
327,0.10299003
328,0.09634526
329,0.101328656
330,0.10299003
331,0.10049833
332,0.10299003
333,0.10797343
334,0.11627886
335,0.11627886
336,0.124584645
337,0.11295684
338,0.11960125
339,0.12292363
340,0.12790702
341,0.12707634
342,0.12043193
343,0.13372077
344,0.13953483
345,0.13289008
346,0.13953483
347,0.12956804
348,0.13455144
349,0.13289008
350,0.13039872
351,0.12541533
352,0.12956804
353,0.12873736
354,0.12790702
355,0.12624566
356,0.12624566
357,0.12790702
358,0.13289008
359,0.13289008
360,0.13039872
361,0.13289008
362,0.124584645
363,0.12375395
364,0.11960125
365,0.11710954
366,0.11378716
367,0.11212614
368,0.11960125
369,0.12873736
370,0.12375395
371,0.11960125
372,0.12292363
373,0.12375395
374,0.12375395
375,0.12707634
376,0.12126225
377,0.12126225
378,0.11794023
379,0.11710954
380,0.11710954
381,0.12209295
382,0.12375395
383,0.12790702
384,0.12790702
385,0.12790702
386,0.12790702
387,0.12707634
388,0.12790702
389,0.13372077
390,0.13039872
391,0.12956804
392,0.12790702
393,0.12873736
394,0.12956804
395,0.12790702
396,0.12873736
397,0.12956804
398,0.12956804
399,0.12956804
400,0.12624566
401,0.12790702
402,0.12873736
403,0.12209295
404,0.11794023
405,0.11960125
406,0.118770555
407,0.11960125
408,0.11794023
409,0.11295684
410,0.11960125
411,0.12375395
412,0.12292363
413,0.12126225
414,0.11627886
415,0.11378716
416,0.11129546
417,0.109634444
418,0.10299003
419,0.10299003
420,0.11129546
421,0.109634444
422,0.115448534
423,0.11295684
424,0.11461784
425,0.11627886
426,0.11794023
427,0.124584645
428,0.12624566
429,0.124584645
430,0.12375395
431,0.12043193
432,0.118770555
433,0.11627886
434,0.11960125
435,0.11794023
436,0.11794023
437,0.11710954
438,0.11710954
439,0.11627886
440,0.11710954
441,0.11960125
442,0.12043193
443,0.118770555
444,0.11960125
445,0.118770555
446,0.11627886
447,0.11461784
448,0.11627886
449,0.11627886
450,0.11627886
451,0.12126225
452,0.11710954
453,0.11627886
454,0.11627886
455,0.11627886
456,0.11794023
457,0.11461784
458,0.11461784
459,0.11212614
460,0.11212614
461,0.11295684
462,0.11212614
463,0.11129546
464,0.109634444
465,0.10299003
466,0.08970085
467,0.09634526
468,0.09468424
469,0.093023226
470,0.09468424
471,0.09468424
472,0.091361865
473,0.08970085
474,0.09468424
475,0.09468424
476,0.09551494
477,0.10049833
478,0.10714275
479,0.10465105
480,0.10215935
481,0.09634526
482,0.09385356
483,0.093023226
484,0.093023226
485,0.08970085
486,0.09053153
487,0.08803983
488,0.08803983
489,0.08637847
490,0.08887017
491,0.08970085
492,0.08471745
493,0.07641202
494,0.07973406
495,0.078073025
496,0.07641202
497,0.07308963
498,0.06976725
499,0.058139432
500,0.06395352
501,0.06478384
502,0.068936914
503,0.07059793
504,0.068936914
505,0.06478384
506,0.06644522
507,0.06976725
508,0.06976725
509,0.07225895
510,0.07142861
511,0.07475065
512,0.07308963
513,0.07890372
514,0.078073025
515,0.07641202
516,0.07890372
517,0.07641202
518,0.078073025
519,0.07641202
520,0.078073025
521,0.07475065
522,0.07973406
523,0.077242345
524,0.07973406
525,0.07641202
526,0.07558133
527,0.06976725
528,0.07641202
529,0.07308963
530,0.07392031
531,0.07142861
532,0.07225895
533,0.07059793
534,0.06976725
535,0.07225895
536,0.07059793
537,0.07142861
538,0.07641202
539,0.07225895
540,0.07142861
541,0.07142861
542,0.06976725
543,0.07308963
544,0.07142861
545,0.07142861
546,0.07059793
547,0.07392031
548,0.07475065
549,0.08056472
550,0.08637847
551,0.08637847
552,0.08637847
553,0.08471745
554,0.08970085
555,0.08970085
556,0.098006636
557,0.091361865
558,0.09634526
559,0.093023226
