,0,1
35,-1,[1.7553785e+04 1.7507500e+01 1.7596226e+00 3.4103820e+07]
36,-1,[1.7466285e+04 1.7600000e+01 1.7382550e+00 1.3557727e+07]
37,-1,[1.7610713e+04 1.7512501e+01 1.7335025e+00 1.6581317e+07]
38,-1,[1.7577107e+04 1.7250000e+01 1.6907600e+00 1.1313195e+07]
39,-1,[1.7445814e+04 1.6760000e+01 1.6337675e+00 1.1452163e+07]
40,-1,[1.7271125e+04 1.6760000e+01 1.6147699e+00 7.0325840e+06]
41,-1,[1.7130336e+04 1.6877501e+01 1.6052700e+00 2.5982660e+06]
42,-1,[1.7188652e+04 1.7472500e+01 1.6266450e+00 3.9247710e+06]
43,-1,[1.7134875e+04 1.7092501e+01 1.6242700e+00 1.6802400e+06]
44,-1,[1.7097096e+04 1.7145000e+01 1.6147676e+00 6.6325270e+06]
45,-1,[1.728632e+04 1.955500e+01 1.631390e+00 6.224047e+06]
46,-1,[1.7589113e+04 2.0277500e+01 1.6575150e+00 3.0151680e+06]
47,-1,[1.7676992e+04 1.9934999e+01 1.6266425e+00 6.4346040e+06]
48,-1,[1.7612918e+04 1.8699999e+01 1.6290150e+00 5.3628720e+06]
49,-1,[1.7504100e+04 1.8709999e+01 1.6123976e+00 3.8447600e+06]
50,-1,[1.7364385e+04 1.8527500e+01 1.5934000e+00 4.0384720e+06]
51,-1,[1.7082816e+04 1.8500000e+01 1.5245349e+00 4.7838410e+06]
52,1,[1.6763633e+04 1.8242500e+01 1.4532950e+00 7.0431120e+06]
53,1,[1.6471008e+04 1.9565001e+01 1.4010475e+00 3.7415870e+06]
54,1,[1.6334400e+04 1.9887501e+01 1.3891749e+00 2.1687310e+06]
55,1,[1.5776750e+04 2.0255001e+01 1.3488075e+00 2.2045260e+06]
56,1,[1.5471817e+04 2.0267500e+01 1.2965651e+00 2.9056780e+06]
57,1,[1.5717617e+04 2.1557499e+01 1.3321850e+00 2.2529530e+06]
58,1,[1.5287385e+04 2.1145000e+01 1.2823150e+00 2.6845940e+06]
59,-1,[1.4771324e+04 2.1642500e+01 1.2585700e+00 3.2615190e+06]
60,1,[1.5166530e+04 2.1717499e+01 1.3036875e+00 1.4044110e+06]
61,1,[1.5293680e+04 2.0365000e+01 1.3131875e+00 1.3854610e+06]
62,-1,[1.5246582e+04 2.0205000e+01 1.3036900e+00 2.8993620e+06]
63,1,[1.5467199e+04 2.1142500e+01 1.3416851e+00 1.2696550e+06]
64,1,[1.5657330e+04 2.1275000e+01 1.3511825e+00 1.2507050e+06]
65,1,[1.5627450e+04 2.1000000e+01 1.3345599e+00 1.8192070e+06]
66,1,[1.5762457e+04 2.1755001e+01 1.3250600e+00 8.4222600e+05]
67,1,[1.6124947e+04 2.4059999e+01 1.3013151e+00 1.2128050e+06]
68,1,[1.586657e+04 2.681500e+01 1.268070e+00 1.099104e+06]
69,1,[1.5616907e+04 2.8805000e+01 1.2490700e+00 8.1064200e+05]
70,-1,[1.5238548e+04 2.8465000e+01 1.2110775e+00 1.3033440e+06]
71,-1,[1.5068673e+04 2.7090000e+01 1.1018425e+00 6.4893480e+06]
72,-1,[1.4660228e+04 2.7127501e+01 9.9260503e-01 5.7502950e+06]
73,1,[1.4971133e+04 2.5940001e+01 9.4986498e-01 2.5540490e+06]
74,-1,[1.4579615e+04 2.4129999e+01 8.9050001e-01 3.1478180e+06]
75,1,[1.432630e+04 2.466750e+01 8.430075e-01 2.172942e+06]
76,1,[1.494871e+04 2.420750e+01 8.905000e-01 1.433889e+06]
77,1,[1.5041617e+04 2.6005001e+01 9.5223749e-01 2.8656730e+06]
78,1,[1.50366875e+04 2.79425011e+01 9.42739964e-01 1.17911600e+06]
79,1,[1.5045280e+04 2.7102499e+01 8.9524752e-01 1.0211990e+06]
80,1,[1.49578125e+04 2.58099995e+01 8.78624976e-01 1.54548400e+06]
81,-1,[1.4864686e+04 2.4280001e+01 1.0234799e+00 3.4826030e+06]
